지역,휘발유,경유,LPG,전기
서울,1645752,1097562,250361,29325
부산,699775,558095,115077,8824
대구,580381,457595,109429,14226
인천,808855,645538,122120,8446
광주,308142,267508,88675,4242
대전,338115,249960,68019,6143
울산,293015,221699,36776,2943
세종,90412,65519,12751,1437
경기,2986203,2443772,406843,31820
강원,356487,371833,59327,5485
충북,396423,382103,70478,5934
충남,513511,517946,88411,8042
전북,393531,433455,93769,5466
전남,443094,544463,110559,6956
경북,644513,665949,127455,9171
경남,867034,745091,139691,9244
제주,283157,252350,60618,23262
