지역,휘발유,경유,LPG,전기
서울,1640427,1096347,251488,28752
부산,697273,558938,115501,8503
대구,584514,461616,109768,13974
인천,807930,648988,123370,7790
광주,307405,268161,88572,4081
대전,337428,249867,68059,5836
울산,292457,222138,36777,2897
세종,89917,65513,12721,1404
경기,2976000,2441338,407469,30030
강원,355156,371905,59434,5200
충북,393776,379606,70427,5480
충남,511837,518008,88223,7254
전북,392717,433376,93749,5104
전남,440422,544225,110176,6643
경북,642932,666202,127265,8676
경남,863239,744787,139580,8685
제주,280347,251178,60670,22838
