지역,휘발유,경유,LPG,전기,년월
서울,1629747,1113047,263747,20997,2020.08
부산,679341,561252,119138,4320,2020.08
대구,576705,472508,113285,12468,2020.08
인천,790923,672086,134156,4204,2020.08
광주,302026,273256,87806,3046,2020.08
대전,332485,257089,69142,3338,2020.08
울산,286125,227689,37615,2142,2020.08
세종,84663,63811,12211,1076,2020.08
경기,2869696,2418592,412197,17197,2020.08
강원,343588,372953,60342,3091,2020.08
충북,378380,382529,69982,3319,2020.08
충남,495316,523849,87170,4252,2020.08
전북,384794,436681,94512,2906,2020.08
전남,410193,532966,105575,4576,2020.08
경북,625830,670410,127351,5400,2020.08
경남,829953,738784,137531,5003,2020.08
제주,262618,253268,63357,20699,2020.08
