지역,휘발유,경유,LPG,전기
서울,1653322,1062773,235912,55335
부산,724315,543281,108809,21054
대구,588014,445167,104953,23407
인천,823390,612005,107604,24222
광주,314862,264207,89207,8451
대전,344125,246043,67016,13385
울산,299586,214968,35663,4943
세종,96372,66039,13221,2825
경기,3088860,2444524,402061,72328
강원,371887,369720,57975,12845
충북,408978,379148,70637,14365
충남,534122,515329,89737,15987
전북,401409,429057,93448,12448
전남,488951,551170,112779,14437
경북,658907,657699,128219,17859
경남,903373,731110,140109,20983
제주,313002,247310,56403,30696
