지역,휘발유,경유,LPG,전기
서울,1654165,1057305,234200,59327
부산,727492,539972,108080,22063
대구,590329,443822,104420,24161
인천,824134,601916,105751,26242
광주,315930,263666,89026,9096
대전,345202,245797,66725,14476
울산,300851,213871,35514,5061
세종,97008,65904,13257,3034
경기,3105864,2442913,400612,77648
강원,374150,369177,57672,14012
충북,410986,378721,70418,15140
충남,537774,515600,89764,16611
전북,403374,428803,93378,12727
전남,495530,551110,112992,15387
경북,662265,657241,128016,19154
경남,909026,736731,139679,22740
제주,314963,245624,55356,32976
