지역,휘발유,경유,LPG,전기,년월
서울,1648288,1079556,242594,43206,2022.03
부산,712296,552112,111697,15330,2022.03
대구,583757,450275,106912,17584,2022.03
인천,815951,630650,114491,14134,2022.03
광주,311566,267445,88875,6015,2022.03
대전,340786,248542,67443,8595,2022.03
울산,296630,218729,36102,3789,2022.03
세종,94588,66226,12978,2069,2022.03
경기,3048861,2449884,405050,45891,2022.03
강원,364563,371926,58457,8652,2022.03
충북,402939,381104,70344,9683,2022.03
충남,523938,517486,88925,11532,2022.03
전북,397404,431942,93522,8404,2022.03
전남,463047,547611,111426,9978,2022.03
경북,653536,665177,127860,12318,2022.03
경남,883452,738074,139652,14371,2022.03
제주,299245,253245,58785,26702,2022.03
